dataset,metric,method,value
academic,dice,default,0.8202454310959025
academic,jaccard,default,0.7066451000890976
academic,precision,default,0.8384529245450696
academic,recall,default,0.8255693640013877
academic,f1,default,0.8202454310959025
academic,dice,craft,0.7753404194327663
academic,jaccard,craft,0.6483472950891769
academic,precision,craft,0.7770825286021689
academic,recall,craft,0.8046773875580485
academic,f1,craft,0.7753404194327663
quartz,dice,craft,0.6179184693202517
quartz,jaccard,craft,0.49471067771012295
quartz,precision,craft,0.52611278357586
quartz,recall,craft,0.9125425279730945
quartz,f1,craft,0.6179184693202516
quartz,dice,default,0.8656086730837936
quartz,jaccard,default,0.7698161911273913
quartz,precision,default,0.8425628509770166
quartz,recall,default,0.8989208234903273
quartz,f1,default,0.8656086730837936
