dataset,metric,method,value 
academic,dice,craft,.88
academic,jaccard,craft,.79
academic,precision,craft,.79
academic,recall,craft,1
academic,f1,craft,.88
quartz,dice,craft,.86
quartz,jaccard,craft,.76
quartz,precision,craft,.76
quartz,recall,craft,1
quartz,f1,craft,.86
academic,dice,default,.82
academic,jaccard,default,.72
academic,precision,default,.72
academic,recall,default,1
academic,f1,default,.82
quartz,dice,default,.81
quartz,jaccard,default,.72
quartz,precision,default,.72
quartz,recall,default,1
quartz,f1,default,.82
